target_path,source_path,target_kind,decision,category,priority,status,message
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_036.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_036.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_037.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_037.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_037_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_037_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P2.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P3.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_038_P3.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_039.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_039.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_040.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_040.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_041.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_041.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_042.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_042.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_043.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_043.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_044.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_044.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_044_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_044_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115_P1.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115_P2.json,Assets/CardBaseEntity/BT1/Blue/Digimon/BT1_115_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_096.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_096.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
