GroupId,Set,Color,CardCount,SourceDir,TestProject,GoalId
BT11/Purple,BT11,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Purple,CardEffect.BT11.Purple.Tests,CARDS-BT11-Purple
BT11/Red,BT11,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Red,CardEffect.BT11.Red.Tests,CARDS-BT11-Red
BT11/White,BT11,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/White,CardEffect.BT11.White.Tests,CARDS-BT11-White
BT11/Yellow,BT11,Yellow,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT11/Yellow,CardEffect.BT11.Yellow.Tests,CARDS-BT11-Yellow
BT12/Black,BT12,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Black,CardEffect.BT12.Black.Tests,CARDS-BT12-Black
BT12/Blue,BT12,Blue,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Blue,CardEffect.BT12.Blue.Tests,CARDS-BT12-Blue
BT12/Green,BT12,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Green,CardEffect.BT12.Green.Tests,CARDS-BT12-Green
BT12/Purple,BT12,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Purple,CardEffect.BT12.Purple.Tests,CARDS-BT12-Purple
BT12/Red,BT12,Red,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Red,CardEffect.BT12.Red.Tests,CARDS-BT12-Red
BT12/White,BT12,White,3,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/White,CardEffect.BT12.White.Tests,CARDS-BT12-White
BT12/Yellow,BT12,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT12/Yellow,CardEffect.BT12.Yellow.Tests,CARDS-BT12-Yellow
BT13/Black,BT13,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Black,CardEffect.BT13.Black.Tests,CARDS-BT13-Black
BT13/Blue,BT13,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Blue,CardEffect.BT13.Blue.Tests,CARDS-BT13-Blue
BT13/Green,BT13,Green,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Green,CardEffect.BT13.Green.Tests,CARDS-BT13-Green
BT13/Purple,BT13,Purple,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Purple,CardEffect.BT13.Purple.Tests,CARDS-BT13-Purple
BT13/Red,BT13,Red,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Red,CardEffect.BT13.Red.Tests,CARDS-BT13-Red
BT13/White,BT13,White,4,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/White,CardEffect.BT13.White.Tests,CARDS-BT13-White
BT13/Yellow,BT13,Yellow,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT13/Yellow,CardEffect.BT13.Yellow.Tests,CARDS-BT13-Yellow
BT14/Black,BT14,Black,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Black,CardEffect.BT14.Black.Tests,CARDS-BT14-Black
BT14/Blue,BT14,Blue,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Blue,CardEffect.BT14.Blue.Tests,CARDS-BT14-Blue
