layer,path,asis_lines,port_lines,review_status,reviewer,findings,date
mirror,Assets/Scripts/Script/CardEffects/ActivateClass.cs,30,53,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotBeDeleted.cs,45,52,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/CanNotBeRemoved.cs,45,52,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/ArmorPurge.cs,43,52,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangeDigivolutionCost.cs,54,51,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/TreatAsDigimon.cs,44,50,,,,
mirror,Assets/Scripts/Script/CardEffects/ImmuneFromStackTrashingClass.cs,46,50,,,,
mirror,Assets/Scripts/Script/CardEffects/InvertSAttackClass.cs,46,50,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/IgnoreDigivolutionRequirement.cs,40,49,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnAddDigivolutionCards.cs,47,49,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnAttack.cs,47,49,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenUseOption.cs,47,49,,,,
mirror,Assets/Scripts/Script/CardEffects/AddJogressConditionClass.cs,44,49,,,,
mirror,Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Ascension.cs,37,48,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotReturnToHandClass.cs,40,46,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotReturnToLibraryClass.cs,41,46,,,,
mirror,Assets/Scripts/Script/CardEffects/ImmuneFromDPMinusClass.cs,42,46,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenWouldLink.cs,41,44,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnSuspend.cs,41,43,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnTrashBySelfDigiBurst.cs,41,43,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotAddMemoryClass.cs,38,43,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotAddSecurityClass.cs,39,43,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/DigiXrosEffects.cs,32,42,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/CanSuspend.cs,41,42,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnTrashHand.cs,40,42,,,,
mirror,Assets/Scripts/Script/CardEffects/CanSelectAssemblyClass.cs,38,42,,,,
mirror,Assets/Scripts/Script/CardEffects/CanSelectDigiXrosClass.cs,38,42,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/TrashDigivolutionCards.cs,194,41,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnReturnLibraryBottomDigivolutionCards.cs,39,41,,,,
mirror,Assets/Scripts/Script/CardEffects/AddSkillClass.cs,36,41,,,,
mirror,Assets/Scripts/Script/CardEffects/CanAttackTargetDefendingPermanentClass.cs,36,41,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotBeDestroyedBySkillClass.cs,36,41,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/Cost/IsMinCost.cs,34,40,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnCardsReturnToHandFromTrash.cs,38,40,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnCardsReturnToLibraryFromTrash.cs,38,40,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OptionEffect.cs,40,40,,,,
mirror,Assets/Scripts/Script/CardEffects/AddDetailClass.cs,34,40,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotTrashFromDigivolutionCardsClass.cs,35,40,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenUseDigiBurst.cs,37,39,,,,
mirror,Assets/Scripts/Script/CardEffects/BlockerClass.cs,35,39,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotEvolveClass.cs,34,39,,,,
mirror,Assets/Scripts/Script/CardEffects/IcecladClass.cs,35,39,,,,
mirror,Assets/Scripts/Script/CardEffects/RebootClass.cs,35,39,,,,
mirror,Assets/Scripts/Script/CardEffects/RushClass.cs,35,39,,,,
mirror,Assets/Scripts/Script/CardEffects/ScapegoatClass.cs,35,39,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/DP/IsMaxDP.cs,25,38,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotIgnoreDigivolutionConditionClass.cs,32,38,,,,
mirror,Assets/Scripts/Script/CardEffects/ImmuneFromDeDigivolveClass.cs,34,38,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/DP/IsMinDP.cs,26,37,,,,
