rel	units_total	units_kept	units_deleted	comment_lines_deleted	comment_lines_kept	physical_lines_removed	token_gate	note
CardEffect/BT2/Green/BT2_102.cs	13	0	13	13	0	13	PASS	
CardEffect/BT2/Purple/BT2_008.cs	6	0	6	6	0	6	PASS	
CardEffect/BT2/Purple/BT2_070.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Purple/BT2_073.cs	14	0	14	14	0	14	PASS	
CardEffect/BT2/Purple/BT2_074.cs	4	0	4	4	0	4	PASS	
CardEffect/BT2/Purple/BT2_080.cs	24	0	24	24	0	24	PASS	
CardEffect/BT2/Purple/BT2_081.cs	19	0	19	19	0	19	PASS	
CardEffect/BT2/Purple/BT2_090.cs	17	0	17	17	0	17	PASS	
CardEffect/BT2/Purple/BT2_110.cs	11	0	11	11	0	11	PASS	
CardEffect/BT2/Red/BT2_001.cs	9	0	9	9	0	9	PASS	
CardEffect/BT2/Red/BT2_010.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Red/BT2_012.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Red/BT2_013.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Red/BT2_015.cs	7	0	7	7	0	7	PASS	
CardEffect/BT2/Red/BT2_019.cs	3	0	3	3	0	3	PASS	
CardEffect/BT2/Red/BT2_084.cs	10	0	10	10	0	10	PASS	
CardEffect/BT2/Red/BT2_091.cs	12	0	12	12	0	12	PASS	
CardEffect/BT2/Red/BT2_092.cs	13	0	13	13	0	13	PASS	
CardEffect/BT2/White/BT2_082.cs	36	0	36	36	0	36	PASS	
CardEffect/BT2/Yellow/BT2_003.cs	7	0	7	7	0	7	PASS	
CardEffect/BT2/Yellow/BT2_033.cs	6	0	6	6	0	6	PASS	
CardEffect/BT2/Yellow/BT2_034.cs	14	0	14	14	0	14	PASS	
CardEffect/BT2/Yellow/BT2_035.cs	8	0	8	8	0	8	PASS	
CardEffect/BT2/Yellow/BT2_040.cs	8	0	8	8	0	8	PASS	
CardEffect/BT2/Yellow/BT2_087.cs	19	0	19	19	0	19	PASS	
CardEffect/BT2/Yellow/BT2_097.cs	13	0	13	13	0	13	PASS	
CardEffect/BT2/Yellow/BT2_099.cs	18	0	18	18	0	18	PASS	
CardEffect/BT20/Blue/BT20_025.cs	35	0	35	35	0	35	PASS	
CardEffect/BT20/Purple/BT20_072.cs	19	0	19	19	0	19	PASS	
CardEffect/BT20/Purple/BT20_079.cs	43	0	43	43	0	43	PASS	
CardEffect/BT20/Red/BT20_017.cs	55	0	55	55	0	55	PASS	
CardEffect/BT21/Black/BT21_058.cs	28	0	28	28	0	28	PASS	
CardEffect/BT21/Black/BT21_059.cs	20	0	20	20	0	20	PASS	
CardEffect/BT21/Purple/BT21_077.cs	26	0	26	26	0	26	PASS	
CardEffect/BT21/Red/BT21_029.cs	33	0	33	33	0	33	PASS	
CardEffect/BT21/Red/BT21_030.cs	57	0	57	57	0	57	PASS	
CardEffect/BT22/Green/BT22_044.cs	14	0	14	14	0	14	PASS	
CardEffect/BT22/Yellow/BT22_003.cs	15	0	15	15	0	15	PASS	
CardEffect/BT22/Yellow/BT22_035.cs	36	0	36	36	0	31	PASS	
CardEffect/BT22/Yellow/BT22_040.cs	37	0	37	37	0	37	PASS	
CardEffect/BT22/Yellow/BT22_087.cs	23	0	23	23	0	23	PASS	
CardEffect/BT23/Black/BT23_057.cs	72	0	72	72	0	72	PASS	
CardEffect/BT23/Blue/BT23_021.cs	44	0	44	44	0	41	PASS	
CardEffect/BT23/Yellow/BT23_081.cs	40	0	40	40	0	40	PASS	
CardEffect/BT24/Black/BT24_062.cs	40	0	40	40	0	40	PASS	
CardEffect/BT24/Red/BT24_018.cs	19	0	19	19	0	19	PASS	
CardEffect/BT25/Black/BT25_061.cs	33	0	33	33	0	30	PASS	
CardEffect/BT25/Black/BT25_070.cs	19	0	19	19	0	17	PASS	
CardEffect/BT25/Black/BT25_072.cs	21	0	21	21	0	19	PASS	
CardEffect/BT25/Black/BT25_075.cs	26	0	26	26	0	26	PASS	
CardEffect/BT25/Black/BT25_101.cs	40	0	40	40	0	40	PASS	
CardEffect/BT25/Black/BT25_102.cs	37	0	37	37	0	37	PASS	
CardEffect/BT25/Blue/BT25_096.cs	23	0	23	23	0	23	PASS	
CardEffect/BT25/Green/BT25_004.cs	26	0	26	26	0	26	PASS	
CardEffect/BT25/Green/BT25_052.cs	20	0	20	20	0	18	PASS	
CardEffect/BT25/Green/BT25_056.cs	21	0	21	21	0	19	PASS	
CardEffect/BT25/Green/BT25_089.cs	47	0	47	47	0	47	PASS	
CardEffect/BT25/Purple/BT25_092.cs	42	0	42	42	0	42	PASS	
CardEffect/BT25/Red/BT25_019.cs	18	0	18	18	0	18	PASS	
CardEffect/BT25/Red/BT25_094.cs	37	0	37	37	0	37	PASS	
CardEffect/BT25/Red/BT25_104.cs	68	7	61	61	7	61	PASS	
CardEffect/BT25/Yellow/BT25_034.cs	11	0	11	11	0	11	PASS	
CardEffect/BT25/Yellow/BT25_039.cs	67	0	67	67	0	67	PASS	
CardEffect/BT25/Yellow/BT25_040.cs	39	0	39	39	0	39	PASS	
CardEffect/BT25/Yellow/BT25_043.cs	30	0	30	30	0	30	PASS	
CardEffect/BT3/Green/BT3_056.cs	34	0	34	34	0	34	PASS	
CardEffect/BT3/Green/BT3_103.cs	41	0	41	41	0	41	PASS	
CardEffect/BT5/Green/BT5_056.cs	34	0	34	34	0	34	PASS	
CardEffect/BT5/White/BT5_086.cs	56	0	56	56	0	56	PASS	
CardEffect/BT6/Black/BT6_067.cs	20	0	20	20	0	20	PASS	
CardEffect/BT6/Black/BT6_106.cs	15	0	15	15	0	15	PASS	
CardEffect/BT6/Red/BT6_095.cs	18	0	18	18	0	18	PASS	
CardEffect/BT7/Black/BT7_058.cs	33	0	33	33	0	33	PASS	
CardEffect/BT7/Blue/BT7_087.cs	37	0	37	37	0	37	PASS	
CardEffect/BT7/Green/BT7_055.cs	15	0	15	15	0	15	PASS	
CardEffect/BT7/White/BT7_112.cs	23	0	23	23	0	23	PASS	
CardEffect/BT8/Black/BT8_059.cs	14	0	14	14	0	14	PASS	
CardEffect/BT8/Black/BT8_092.cs	19	0	19	19	0	19	PASS	
CardEffect/BT8/Green/BT8_057.cs	19	0	19	19	0	19	PASS	
CardEffect/BT8/Purple/BT8_071.cs	14	0	14	14	0	14	PASS	
CardEffect/BT8/Yellow/BT8_090.cs	13	0	13	13	0	13	PASS	
CardEffect/BT9/Black/BT9_062.cs	12	0	12	12	0	12	PASS	
CardEffect/BT9/Black/BT9_103.cs	25	0	25	25	0	25	PASS	
CardEffect/BT9/Black/BT9_111.cs	33	0	33	33	0	33	PASS	
CardEffect/BT9/Blue/BT9_021.cs	16	0	16	16	0	16	PASS	
CardEffect/BT9/Blue/BT9_031.cs	22	0	22	22	0	22	PASS	
CardEffect/BT9/Purple/BT9_081.cs	21	0	21	21	0	21	PASS	
CardEffect/BT9/Red/BT9_009.cs	31	0	31	31	0	31	PASS	
CardEffect/BT9/Red/BT9_013.cs	28	0	28	28	0	28	PASS	
CardEffect/BT9/White/BT9_109.cs	60	0	60	60	0	59	PASS	
CardEffect/BT9/Yellow/BT9_043.cs	38	0	38	38	0	37	PASS	
CardEffect/EX1/White/EX1_072.cs	20	0	20	20	0	20	PASS	
CardEffect/EX10/Black/EX10_002.cs	11	0	11	11	0	11	PASS	
CardEffect/EX10/Black/EX10_029.cs	41	0	41	41	0	41	PASS	
CardEffect/EX10/Purple/EX10_043.cs	46	0	46	46	0	46	PASS	
CardEffect/EX10/Purple/EX10_045.cs	48	0	48	48	0	48	PASS	
CardEffect/EX10/Red/EX10_010.cs	51	2	49	49	2	49	PASS	
CardEffect/EX11/Black/EX11_004.cs	25	0	25	25	0	25	PASS	
CardEffect/EX11/Green/EX11_074.cs	44	0	44	44	0	44	PASS	
CardEffect/EX11/White/EX11_070.cs	41	0	41	41	0	41	PASS	
CardEffect/EX2/White/EX2_072.cs	42	0	42	42	0	42	PASS	
