relpath,layer,in_asis,in_tobe,pair_state,card_state
CardEffect/BT11/Blue/BT11_002.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_020.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_022.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_023.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_024.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_025.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_027.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_028.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_029.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_030.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_031.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_032.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_033.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_090.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_098.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_099.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Blue/BT11_112.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_004.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_046.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_047.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_049.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_050.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_052.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_054.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_055.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_056.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_057.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_058.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_059.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_091.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_102.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_103.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Green/BT11_104.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_006.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_076.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_077.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_078.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_079.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_080.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_081.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_082.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_083.cs,CardEffect,Y,Y,BOTH,SHELL
